Land,Deutschlernende gesamt 2020 ,Gesamtzahl Schüler*innen im Gastland 2020,Schulen mit Fremdsprachenunterricht 2020 ,Schulen mit DaF 2020 ,Deutschlehrkräfte 2020 ,DaF-Lernende Schulbereich 2020 ,Zuwachs/ Rückgang der DaF-Lernenden im Schulbereich im Vergleich 2015 zu 2020,Hochschulen mit Deutsch allgemein 2020 ,Deutsch lernende Studierende 2020 ,Zuwachs/ Rückgang der Deutsch lernenden Studierenden im Vergleich 2015 zu 2020,Außerschulische/ außeruniversitäre DaF-Einrichtungen 2020 ,DaF-Lernende an außerschulischen/ außeruniversitären Einrichtungen 2020 ,DaF-Lernende an Goethe-Instituten 2020 ,Perspektive Schulbereich [Trend von 2015 zu 2020] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,242153,15649000,40659,102,1950,3542,194,479,225355,1355,301,8778,4478,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordanien,8746,2051841,7262,12,22,3120,2520,2,2441,-1829,7,1300,1885,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kambodscha,697,2333607,350,0,0,0,0,2,22,22,0,0,675,=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamerun,239815,9294296,2872,2472,2367,230000,9543,8,1887,87,24,4600,3328,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanada,31973,5117328,11000,345,603,15000,-800,36,15115,-3108,k.A.,k.A.,1858,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kasachstan,23034,3050770,7047,62,161,12978,-7156,22,3544,1749,k.A. ,k.A.,6512,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenia,13125,16000000,20000,200,300,10000,7464,6,625,-61,50,500,2000,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirgisistan,24829,600000,2227,75,152,15413,-5562,32,8662,1895,k.A. ,k.A.,754,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolumbien,19433,19833092,27665,19,160,9101,1763,38,8001,3001,22,1981,350,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,9099,345540,1118,1118,67,2000,0,12,5867,,k.A,k.A,1232,=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kroatien,181177,464475,2471,2471,1919,154879,-15121,k.A.,1058,,46,24052,1188,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuba,2401,1628793,9016,7,9,385,,4,430,,14,1200,386,k.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laos,65,1500000,0,0,4,0,0,1,65,27,0,0,0,=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lettland,25514,205113,748,281,375,22763,426,13,970,-69,20,350,1431,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libanon,5400,350,350,6,10,1500,-835,2,400,200,8,2000,1500,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Litauen,27959,356498,1163,570,299,25497,-3218,15,1412,-3421,42,1050,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagaskar,35767,7245538,7540,167,153,32363,2081,8,388,-290,10,1500,1516,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,105,5575203,k.A.,1,1,105,,0,0,,k.A.,k.A.,0,k.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,15341,5048149,317,82,84,9685,6085,17,4056,128,9,550,1050,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,71011,8332138,k.A.,k.A.,350,70000,9676,2,891,-433,2,120,0,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,k.A.,k.A.,k.A.,22,k.A.,k.A.,,k.A.,k.A.,,1,k.A.,k.A.,k.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marokko,38421,7730620,16285,209,300,25000,3500,9,400,-340,140,8283,4738,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Die politische Instabiltät hat inzwischen auch Auswirkungen auf das Schu,,,,,auf die Schule. Die ohnehin schwierigen Rahmenbedingungen haben sich weiter verschlechtert.
Mexiko,85896,30733377,35150,300,1000,22000,-5000,250,34393,16393,370,18413,11090,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldau,1000,k.A.,k.A.,149,91,k.A.,,k.A.,k.A.,,k.A.,k.A.,1000,k.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolei,8798,593150,803,15,51,4468,1798,6,737,288,31,2870,723,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,18267,95392,213,213,70,18267,12103,1,k.A.,,1,k.A.,0,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mosambik,300,8021162,k.A.,3,4,176,-24,1,31,,k.A.,k.A.,93,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,1634,k.A.,k.A.,4,44,196,,3,635,357,0,0,803,k.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,9248,733000,733000,55,97,7500,-130,2,100,-86,3,974,674,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,4017,7391524,15000,4,4,491,,1,375,-250,11,1960,1191,k.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuseeland,4907,804466,498,76,80,3111,-10824,5,849,165,7,40,907,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,1943,1700000,k.A.,2,8,1313,376,4,365,-433,2,265,k.A.,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niederlande,534557,3002364,8236,1095,3660,528221,148221,26,3728,-25580,68,500,2108,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,10340,63961333,k.A.,15,20,1100,,13,3740,,25,4500,1000,k.A. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordkorea (Demokratische Volksrepublik Korea),302,k.A.,k.A.,1,k.A.,90,,3,212,,k.A.,k.A.,k.A.,k.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordmazedonien,69300,259752,473,256,552,66451,5194,82,656,-1685,34,k.A.,2193,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwegen,79815,824850,3252,1667,3334,79101,6101,6,527,-90,4,187,0,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,1436,748464,748464,7,11,k.A.,,4,803,48,k.A,k.A,633,k.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
